car_brand,model,price,year,location,fuel,km_driven,gear,ownership,monthly_payment
Honda,City ZXGXI,1675000,2008,Mumbai,Petrol,80423,Manual,2,37259
Honda,CityVX MT PETROL,861648,2017,Mumbai,Petrol,74252,Manual,1,19167
Ford,Ecosport1.5 TREND TDCI,532799,2014,Mumbai,Diesel,95884,Manual,2,11852
Maruti,Vitara BrezzaZDI,938599,2019,Mumbai,Diesel,57606,Manual,1,20879
Maruti,Swift DzireVXI 1.2 BS IV,404399,2012,Mumbai,Petrol,106738,Manual,1,8996
Honda,Amaze1.5 EMT I DTEC,525000,2016,Mumbai,Diesel,56889,Manual,1,11678
BMW,5 Series525D 3.0,1630199,2011,Mumbai,Diesel,77266,Automatic,1,36263
Toyota,Etios LivaG,468799,2011,Bangalore,Petrol,20961,Manual,1,10428
Honda,Amaze1.2 SMT I VTEC,403299,2014,Mumbai,Petrol,146858,Manual,1,8971
Hyundai,Elite i20SPORTZ 1.2,558199,2015,Mumbai,Petrol,88329,Manual,1,12417
Honda,Amaze1.2 SAT I VTEC,429999,2015,Mumbai,Petrol,115022,Automatic,1,9565
Honda,CityV MT PETROL,491599,2012,Mumbai,Petrol,90571,Manual,2,10935
Toyota,Corolla AltisD 4D G,467199,2013,Delhi,Diesel,129508,Manual,1,10393
Tata,ManzaELAN QUADRAJET BS IV,250000,2012,Mumbai,Diesel,95278,Manual,2,5561
Maruti,Swift DzireVDI,438899,2013,Mumbai,Diesel,161540,Manual,1,9763
Volkswagen,PoloHIGHLINE1.5L DIESEL,386725,2014,Mumbai,Diesel,138316,Manual,1,8602
Volkswagen,VentoCOMFORTLINE DIESEL,417399,2013,Mumbai,Diesel,120100,Manual,1,9285
Skoda,Rapid1.6 TDI MT AMBITION,390000,2012,Mumbai,Diesel,92158,Manual,1,8675
Maruti,CiazZXI PLUS,625000,2015,Mumbai,Petrol,71429,Manual,1,13903
Maruti,CiazZXI AT,648299,2015,Mumbai,Petrol,92368,Automatic,1,14421
Volkswagen,VentoHIGHLINE TDI AT,821099,2017,Mumbai,Diesel,95513,Automatic,1,18265
Ford,Ecosport1.5TITANIUM TDCI,568399,2015,Mumbai,Diesel,96574,Manual,1,12644
Maruti,Swift DzireVDI BS IV,431299,2012,Mumbai,Diesel,161606,Manual,1,9594
Honda,Amaze1.2 SMT I VTEC,416099,2014,Mumbai,Petrol,116242,Manual,1,9256
Honda,City1.5 E MT PETROL,527899,2012,Mumbai,Petrol,75617,Manual,1,11743
Honda,Amaze1.2 SMT I VTEC,471799,2013,Mumbai,Petrol,123763,Manual,1,10495
Ford,Figo1.4 TITANIUM DURATORQ,320000,2014,Mumbai,Diesel,76291,Manual,1,7118
Hyundai,Verna1.6 SX VTVT AT (O),1097000,2018,Mumbai,Petrol,42194,Automatic,1,24402
Volkswagen,VentoCOMFORTLINE DIESEL,450000,2014,Mumbai,Diesel,74078,Manual,1,10010
Mahindra,BoleroSLE BS III,560000,2015,Mumbai,Diesel,67666,Manual,1,12457
BMW,3 Series320D LUXURYLINE,1625999,2015,Mumbai,Diesel,95239,Automatic,1,36169
Mercedes,Benz E ClassE 220 CDI ELEGANCE,1018000,2012,Mumbai,Diesel,66918,Manual,1,22645
Hyundai,i10MAGNA 1.1 IRDE2,325000,2013,Mumbai,Petrol + CNG,70258,Manual,1,7229
Hyundai,Grand i10ASTA 1.1 (O) CRDI,485000,2015,Mumbai,Diesel,113498,Manual,1,10789
Mahindra,XUV500W10 AT,1099000,2016,Mumbai,Diesel,82947,Automatic,1,24447
Maruti,CiazZXI,607099,2015,Mumbai,Petrol,101560,Manual,1,13505
Mahindra,ScorpioVLX 4WD BS IV,375000,2010,Mumbai,Diesel,172236,Manual,2,8342
Toyota,Corolla AltisG AT,465899,2013,Mumbai,Petrol,75088,Automatic,1,10364
Toyota,Corolla AltisD 4D J,464999,2012,Delhi,Diesel,89795,Manual,1,10344
Maruti,SwiftVDI,317899,2011,Mumbai,Diesel,175435,Manual,1,7071
